target_code;target_content;thematic_area;sub_theme;justification
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency:;TA3_Industrial strategy for a clean and circular economy;Recycling and Waste Management;This target is assigned to the Recycling and Waste Management sub-theme because it specifically deals with recycling efficiency and targets for recycling.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency:;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is also assigned to the Circular Economy sub-theme because it aims to increase recycling efficiency, which is a key aspect of a circular economy.
TA7.7;Reach good chemical and quantitative status in groundwaters and surfacewaters;TA7_Towards a zero-pollution ambition for a toxic free environment;Water Pollution Reduction;This target is assigned to the Water Pollution Reduction sub-theme because it aims to improve the chemical and quantitative status of groundwaters and surfacewaters.
TA6.47;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;TA6_Preserving and protecting biodiversity;Biodiversity Conservation;This target is assigned to the Biodiversity Conservation sub-theme because it aims to improve the conservation status of agricultural ecosystems.
TA6.47;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;TA6_Preserving and protecting biodiversity;Ecosystem Management;This target is also assigned to the Ecosystem Management sub-theme because it involves putting in place measures to manage agricultural ecosystems.
TA7.2;Establish locally integrated urban wastewater management plans to combat pollution from rain waters (urban runoff and storm water overflow);TA7_Towards a zero-pollution ambition for a toxic free environment;Wastewater Management;This target is assigned to the Wastewater Management sub-theme because it aims to establish plans to manage urban wastewater and reduce pollution.
TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight;TA3_Industrial strategy for a clean and circular economy;Recycling and Waste Management;This target is assigned to the Recycling and Waste Management sub-theme because it specifically deals with increasing the preparation for re-use and recycling of municipal waste.
TA6.60;Providing financial incentives for forest owners and managers for improving the quantity and quality of EU forests;TA6_Preserving and protecting biodiversity;Forest Management;This target is assigned to the Forest Management sub-theme because it aims to improve the quantity and quality of EU forests through financial incentives.
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries;TA3_Industrial strategy for a clean and circular economy;Raw Materials Management;This target is assigned to the Raw Materials Management sub-theme because it aims to diversify the Union's imports of strategic raw materials.
TA5.8;Sustainable use of water;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Water Conservation;This target is assigned to the Water Conservation sub-theme because it aims to promote the sustainable use of water.
TA6.1;1.a Legally protect a minimum of 30% of the EU's land area;TA6_Preserving and protecting biodiversity;Habitat Protection;This target is assigned to the Habitat Protection sub-theme because it aims to legally protect a minimum of 30% of the EU's land area.
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions  from the sector do not exceed greenhouse gas removals;TA1_Climate ambition;Greenhouse Gas Reduction;This target is assigned to the Greenhouse Gas Reduction sub-theme because it aims to reduce greenhouse gas emissions from the sector.
TA7.21;Minimise or eliminate the use of pesticides in sensitive areas such as urban green areas;TA7_Towards a zero-pollution ambition for a toxic free environment;Pesticide Reduction;This target is assigned to the Pesticide Reduction sub-theme because it aims to minimize or eliminate the use of pesticides in sensitive areas.
TA4.25;Member States shall ensure that, at the end of each year, starting from the year referred to in Article 26, the following power output targets are met cumulatively;TA4_Sustainable and smart mobility;Electric Vehicle Promotion;This target is assigned to the Electric Vehicle Promotion sub-theme because it aims to increase the power output of publicly accessible recharging stations for electric vehicles.
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU;TA4_Sustainable and smart mobility;Hydrogen Energy Promotion;This target is assigned to the Hydrogen Energy Promotion sub-theme because it aims to install renewable hydrogen electrolysers in the EU.
TA6.17;15. The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced;TA6_Preserving and protecting biodiversity;Marine Conservation;This target is assigned to the Marine Conservation sub-theme because it aims to reduce the negative impacts on sensitive species and habitats in the seabed.
TA6.52;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index;TA6_Preserving and protecting biodiversity;Forest Biodiversity Conservation;This target is assigned to the Forest Biodiversity Conservation sub-theme because it aims to improve the conservation status of forest ecosystems.
TA3.32;Recycling of plastic in packaging: 55%;TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;This target is assigned to the Plastic Recycling sub-theme because it specifically deals with recycling plastic in packaging.
TA6.13;11. At least 25.000 km of free-flowing rivers are restored;TA6_Preserving and protecting biodiversity;River Restoration;This target is assigned to the River Restoration sub-theme because it aims to restore free-flowing rivers.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;TA2_Clean, affordable and secure energy;Solar Energy Promotion;This target is assigned to the Solar Energy Promotion sub-theme because it aims to increase the capacity of solar photovoltaic energy.
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000;TA2_Clean, affordable and secure energy;Renewable Energy Community Development;This target is assigned to the Renewable Energy Community Development sub-theme because it aims to establish renewables-based energy communities.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;This target is assigned to the Plastic Recycling sub-theme because it specifically deals with increasing the percentage of recycled content in plastic packaging.
TA6.62;Reach no net land take;TA6_Preserving and protecting biodiversity;Land Conservation;This target is assigned to the Land Conservation sub-theme because it aims to achieve no net land take.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030;TA2_Clean, affordable and secure energy;Building Energy Efficiency;This target is assigned to the Building Energy Efficiency sub-theme because it aims to increase the energy renovation rate of buildings.
TA3.8;Union's access to a secure and sustainable supply of critical raw materials;TA3_Industrial strategy for a clean and circular economy;Raw Materials Management;This target is assigned to the Raw Materials Management sub-theme because it aims to ensure a secure and sustainable supply of critical raw materials.
TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%;TA6_Preserving and protecting biodiversity;Sustainable Agriculture;This target is assigned to the Sustainable Agriculture sub-theme because it aims to reduce the losses of nutrients from fertilizers.
TA4.37;Rail freight traffic will increase by 50% compared to 2015 by 2030;TA4_Sustainable and smart mobility;Sustainable Transportation;This target is assigned to the Sustainable Transportation sub-theme because it aims to increase rail freight traffic.
TA6.8;5. The decline of pollinators is reversed;TA6_Preserving and protecting biodiversity;Pollinator Conservation;This target is assigned to the Pollinator Conservation sub-theme because it aims to reverse the decline of pollinators.
TA7.3;Member States will be required to improve and maintain access to sanitation for all;TA7_Towards a zero-pollution ambition for a toxic free environment;Sanitation Improvement;This target is assigned to the Sanitation Improvement sub-theme because it aims to improve access to sanitation for all.
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticide Reduction;This target is assigned to the Pesticide Reduction sub-theme because it aims to reduce the use and risk of chemical pesticides.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes;TA2_Clean, affordable and secure energy;Renewable Energy Promotion;This target is assigned to the Renewable Energy Promotion sub-theme because it aims to increase the contribution of renewable fuels of non-biological origin.
TA6.50;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations;TA6_Preserving and protecting biodiversity;Forest Restoration;This target is assigned to the Forest Restoration sub-theme because it aims to restore trees and forests.
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Food Systems;This target is assigned to the Sustainable Food Systems sub-theme because it aims to ensure access to quality, safe, sustainable, and nutritious food.
TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling;TA2_Clean, affordable and secure energy;Fossil Fuel Phase-out;This target is assigned to the Fossil Fuel Phase-out sub-theme because it aims to phase out fossil fuels in heating and cooling.
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target is assigned to the Battery Recycling sub-theme because it specifically deals with collecting and recycling waste LMT batteries.
TA6.44;(marine ecosystems) Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex II;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;This target is assigned to the Marine Ecosystem Restoration sub-theme because it aims to restore marine ecosystems.
TA5.23;Create new job opportunities;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Rural Development;This target is assigned to the Rural Development sub-theme because it aims to create new job opportunities, which can contribute to rural development.
TA7.4;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean;TA7_Towards a zero-pollution ambition for a toxic free environment;Drinking Water Quality;This target is assigned to the Drinking Water Quality sub-theme because it aims to ensure that water intended for human consumption is wholesome and clean.
TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings;TA2_Clean, affordable and secure energy;Building Energy Efficiency;This target is assigned to the Building Energy Efficiency sub-theme because it aims to make zero-emission buildings the new standard for new buildings.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to the Energy Efficiency sub-theme because it aims to reduce primary energy consumption.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States;TA2_Clean, affordable and secure energy;Renewable Energy Cooperation;This target is assigned to the Renewable Energy Cooperation sub-theme because it aims to establish cooperation on joint projects for renewable energy.
TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features;TA6_Preserving and protecting biodiversity;Sustainable Agriculture;This target is assigned to the Sustainable Agriculture sub-theme because it aims to increase the area under high-diversity landscape features.
TA4.37;Freight transport will be paperless;TA4_Sustainable and smart mobility;Digitalization of Transportation;This target is assigned to the Digitalization of Transportation sub-theme because it aims to make freight transport paperless.
TA2.12;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes;TA2_Clean, affordable and secure energy;Renewable Energy Promotion;This target is assigned to the Renewable Energy Promotion sub-theme because it aims to increase the share of renewable sources in energy production.
TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;TA3_Industrial strategy for a clean and circular economy;Waste Management;This target is assigned to the Waste Management sub-theme because it specifically deals with collecting hazardous household waste, bio-waste, and textiles.
TA4.14;Renewable and low-carbon fuels should represent between 6% and 9% of the international maritime transport fuel mix by 2030;TA4_Sustainable and smart mobility;Sustainable Maritime Transport;This target is assigned to the Sustainable Maritime Transport sub-theme because it aims to increase the use of renewable and low-carbon fuels in international maritime transport.
TA2.25;Reduce buildings' final energy consumption by 14%;TA2_Clean, affordable and secure energy;Building Energy Efficiency;This target is assigned to the Building Energy Efficiency sub-theme because it aims to reduce buildings' final energy consumption.
TA6.11;9. Three billion trees are planted in the EU, in full respect of ecological principles;TA6_Preserving and protecting biodiversity;Forest Restoration;This target is assigned to the Forest Restoration sub-theme because it aims to plant three billion trees in the EU.
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030;TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to the Building Renovation sub-theme because it aims to achieve the deep renovation of building units.
TA1.5;CBAM;TA1_Climate ambition;Carbon Pricing;This target is assigned to the Carbon Pricing sub-theme because it involves the implementation of a carbon border adjustment mechanism (CBAM).
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to the Energy Efficiency sub-theme because it aims to reduce the total final energy consumption of public bodies.
TA1.1;Climate Neutrality (2040 target under discussion);TA1_Climate ambition;Climate Neutrality;This target is assigned to the Climate Neutrality sub-theme because it aims to achieve climate neutrality.
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored;TA6_Preserving and protecting biodiversity;Ecosystem Restoration;This target is assigned to the Ecosystem Restoration sub-theme because it aims to restore degraded and carbon-rich ecosystems.
