source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
Waste Reduction;TA3.1,TA3.11,TA3.12;Terrestrial Ecosystems Restoration;+2;The reduction of waste can aid in the restoration of terrestrial ecosystems by decreasing pollution and preserving natural resources.
Waste Reduction - Municipal Waste;TA3.20,TA3.21,TA3.22;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+1;Proper management of municipal waste can create conditions for more sustainable agricultural practices, furthering the restoration of agricultural ecosystems.
Waste Reduction - Food Waste;TA3.24,TA3.25;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-1;Reducing food waste can limit the options for agricultural production, potentially constraining the restoration of agricultural ecosystems.
Waste Reduction - Plastic & Packaging;TA3.27,TA3.28;Marine Ecosystem Restoration;+2;Decreasing plastic waste can reinforce the restoration of marine ecosystems by reducing pollution and protecting marine life.
Circularity/Recycling;TA3.3;Terrestrial Ecosystems Restoration;+2;Promoting circularity and recycling can aid in the restoration of terrestrial ecosystems by reducing waste and preserving natural resources.
Circularity/Recycling - Municipal Waste;TA3.20,TA3.21;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+1;Encouraging recycling and circularity in municipal waste management can create conditions for more sustainable agricultural practices.
Circularity/Recycling - Textile Waste;TA3.15,TA3.16;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-1;The focus on recycling textile waste might constrain options for agricultural production, potentially limiting the restoration of agricultural ecosystems.
Critical Raw Materials - Extraction & Import;TA3.10,TA3.11;Terrestrial Ecosystems Restoration - Forests;-2;The extraction of critical raw materials can counteract efforts to restore forests, as it may lead to deforestation and habitat destruction.
Net-Zero Technology - Manufacturing;TA3.12;Terrestrial Ecosystems Restoration;+2;The development of net-zero technology can reinforce the restoration of terrestrial ecosystems by reducing pollution and promoting sustainable practices.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16;Terrestrial Ecosystems Restoration - Forests;+1;Recycling critical raw materials from batteries can create conditions for more sustainable forest management, furthering the restoration of forests.
