TA1.1;The EU has set a target of climate neutrality by 2050;TA3.38;The use of recycled plastic in PET bottles is expected to increase;+;The increase in recycled plastic use can contribute to reducing greenhouse gas emissions and help achieve climate neutrality.
TA1.2;The EU aims to reduce greenhouse gas emissions by 55% by 2030;TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;+;Increasing recycling rates for plastic bottles can help reduce waste and emissions, supporting the EU's climate goals.
TA1.3;The EU aims to achieve a climate-resilient society;TA4.1;The EU targets an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;Sustainable biomethane production can help reduce greenhouse gas emissions and support a climate-resilient society.
TA1.4;The EU aims to achieve a climate-resilient society;TA4.10;EU fisheries are encouraged to continue reducing fuel intensity;+;Reducing fuel intensity in fisheries can help decrease greenhouse gas emissions and support a climate-resilient society.
TA1.5;The EU aims to implement a Carbon Border Adjustment Mechanism (CBAM);TA4.12;The EU aims to reduce greenhouse gas emissions from maritime transport;+;The CBAM can help reduce emissions from maritime transport by encouraging the use of cleaner fuels and technologies.
TA1.6;The EU aims to recast the ETS;TA4.13;The EU targets 100% zero-emission vehicles for new urban buses by 2030;+;Recasting the ETS can help support the transition to zero-emission vehicles, reducing emissions from transport.
TA1.7;The EU aims to reduce methane emissions;TA3.41;Member States shall meet the target of 65% of the average weight of EEE placed on the market;+;Reducing methane emissions can help decrease greenhouse gas emissions from waste, supporting the EU's climate goals.
TA1.8;The EU aims to reduce greenhouse gas emissions from wastewater treatment;TA7.1;The EU aims to improve water quality by reducing waste and pollution;+;Reducing emissions from wastewater treatment can help improve water quality, supporting the EU's environmental goals.
TA1.9;The EU aims to reduce greenhouse gas emissions from the ETS;TA4.14;The EU targets a share of renewable and low-carbon fuels in international maritime transport;+;Reducing emissions from the ETS can help support the transition to renewable and low-carbon fuels in maritime transport.
TA2.1;The EU aims to increase renewable energy production;TA3.38;The use of recycled plastic in PET bottles is expected to increase;-;Increasing renewable energy production may lead to increased energy demand, potentially conflicting with targets to reduce plastic waste.
TA2.2;The EU aims to set up renewables-based energy communities;TA4.1;The EU targets an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;Renewables-based energy communities can help support the production of sustainable biomethane, reducing emissions from energy production.
TA2.10;The EU aims to increase the share of innovative renewable energy technologies;TA4.13;The EU targets 100% zero-emission vehicles for new urban buses by 2030;+;Innovative renewable energy technologies can help support the transition to zero-emission vehicles, reducing emissions from transport.
TA2.11;The EU aims to cooperate on joint projects for renewable energy production;TA4.12;The EU aims to reduce greenhouse gas emissions from maritime transport;+;Cooperating on joint projects for renewable energy production can help support the transition to cleaner fuels and technologies in maritime transport.
TA2.12;The EU aims to increase the share of renewable energy in the industry sector;TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;+;Increasing the share of renewable energy in the industry sector can help reduce emissions from plastic production and support recycling targets.
TA2.13;The EU aims to increase the share of renewable fuels in transport;TA4.14;The EU targets a share of renewable and low-carbon fuels in international maritime transport;+;Increasing the share of renewable fuels in transport can help support the transition to cleaner fuels and technologies in maritime transport.
TA2.14;The EU aims to increase the share of energy from renewable sources in district heating and cooling;TA7.1;The EU aims to improve water quality by reducing waste and pollution;+;Increasing the share of energy from renewable sources in district heating and cooling can help reduce emissions from heating and cooling, supporting the EU's environmental goals.
TA2.15;The EU aims to achieve 18% of the total increase in the share of energy from renewable sources;TA4.1;The EU targets an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;Achieving the target of 18% increase in renewable energy can help support the production of sustainable biomethane, reducing emissions from energy production.
TA2.16;The EU aims to increase the share of renewable energy in the heating and cooling sector;TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;+;Increasing the share of renewable energy in the heating and cooling sector can help reduce emissions from heating and cooling, supporting recycling targets.
TA2.17;The EU aims to support the achievement of the Union's 2030 targets;TA4.12;The EU aims to reduce greenhouse gas emissions from maritime transport;+;Supporting the achievement of the Union's 2030 targets can help reduce emissions from maritime transport, supporting the EU's climate goals.
TA2.18;The EU aims to determine an indicative national share of renewable energy produced on-site or nearby;TA4.1;The EU targets an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;Determining an indicative national share of renewable energy can help support the production of sustainable biomethane, reducing emissions from energy production.
TA2.19;The EU aims to promote the use of renewable energy in the fisheries sector;TA4.10;EU fisheries are encouraged to continue reducing fuel intensity;+;Promoting the use of renewable energy in the fisheries sector can help reduce fuel intensity and support the EU's climate goals.
TA3.38;The use of recycled plastic in PET bottles is expected to increase;TA1.1;The EU has set a target of climate neutrality by 2050;-;Increasing the use of recycled plastic in PET bottles may lead to increased energy demand and emissions, potentially conflicting with climate neutrality targets.
TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;TA2.12;The EU aims to increase the share of renewable energy in the industry sector;+;Increasing recycling rates for plastic bottles can help reduce waste and emissions, supporting the transition to renewable energy in the industry sector.
TA3.41;Member States shall meet the target of 65% of the average weight of EEE placed on the market;TA1.7;The EU aims to reduce methane emissions;+;Reducing waste from EEE can help decrease methane emissions from waste, supporting the EU's climate goals.
TA4.1;The EU targets an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA2.1;The EU aims to increase renewable energy production;+;Producing sustainable biomethane can help increase renewable energy production, supporting the EU's energy and climate goals.
TA4.10;EU fisheries are encouraged to continue reducing fuel intensity;TA1.5;The EU aims to implement a Carbon Border Adjustment Mechanism (CBAM);+;Reducing fuel intensity in fisheries can help support the implementation of the CBAM, reducing emissions from maritime transport.
TA4.12;The EU aims to reduce greenhouse gas emissions from maritime transport;TA2.11;The EU aims to cooperate on joint projects for renewable energy production;+;Reducing emissions from maritime transport can help support the transition to cleaner fuels and technologies, supporting cooperation on joint projects for renewable energy production.
TA4.13;The EU targets 100% zero-emission vehicles for new urban buses by 2030;TA2.10;The EU aims to increase the share of innovative renewable energy technologies;+;Transitioning to zero-emission vehicles can help support the development of innovative renewable energy technologies, reducing emissions from transport.
TA4.14;The EU targets a share of renewable and low-carbon fuels in international maritime transport;TA2.13;The EU aims to increase the share of renewable fuels in transport;+;Increasing the share of renewable and low-carbon fuels in maritime transport can help support the transition to cleaner fuels and technologies in transport.
TA5.1;The EU aims to reduce greenhouse gas emissions from agriculture;TA1.1;The EU has set a target of climate neutrality by 2050;+;Reducing emissions from agriculture can help achieve climate neutrality, supporting the EU's climate goals.
TA5.2;The EU aims to increase organic farming;TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;-;Increasing organic farming may lead to increased demand for recycled materials, potentially conflicting with recycling targets.
TA5.3;The EU aims to reduce food waste;TA7.1;The EU aims to improve water quality by reducing waste and pollution;+;Reducing food waste can help decrease waste and pollution, supporting the EU's environmental goals.
TA5.4;The EU aims to promote sustainable agriculture practices;TA2.12;The EU aims to increase the share of renewable energy in the industry sector;+;Promoting sustainable agriculture practices can help reduce emissions from agriculture, supporting the transition to renewable energy in the industry sector.
TA5.5;The EU aims to support the development of a sustainable food system;TA4.1;The EU targets an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;Supporting the development of a sustainable food system can help promote the production of sustainable biomethane, reducing emissions from energy production.
