TA6.38;Protecting EU’s last remaining primary and old-growth forests;TA4.45;+;The protection of primary and old-growth forests can contribute to the development of zero-emission ocean-going vessels by promoting sustainable forest management and reducing greenhouse gas emissions, which can help achieve the target of zero-emission vessels.
TA6.38;Protecting EU’s last remaining primary and old-growth forests;TA4.46;+;The protection of primary and old-growth forests can also support the development of zero-emission large aircraft by reducing emissions and promoting sustainable land use, which can help achieve the target of zero-emission aircraft.
TA6.44;marine ecosystems;TA4.48;-;The target of improving marine ecosystems can be negatively impacted by the lack of progress in reducing emissions from maritime transport, which is a key sector for achieving the target of zero-emission vessels.
TA6.47;agricultural ecosystems;TA5.1;+;The target of improving agricultural ecosystems can contribute to the reduction of greenhouse gas emissions from agriculture, which can help achieve the targets related to climate action and sustainable agriculture.
TA6.47;agricultural ecosystems;TA5.10;+;The improvement of agricultural ecosystems can also support the increase of renewable energy in agriculture and the reduction of energy consumption, which can help achieve the targets related to energy efficiency and renewable energy.
TA6.48;agricultural ecosystems;TA5.11;+;The protection of agricultural ecosystems can contribute to the preservation of natural resources and the reduction of biodiversity loss, which can help achieve the targets related to environmental protection and sustainable development.
TA6.49;agricultural ecosystems;TA5.12;+;The improvement of agricultural ecosystems can support the development of sustainable agricultural practices and the preservation of genetic resources, which can help achieve the targets related to sustainable agriculture and food security.
TA6.50;trees;TA4.50;+;The target of planting three billion additional trees can contribute to the reduction of greenhouse gas emissions from transport by promoting the use of sustainable biofuels and reducing emissions from land use change.
TA6.51;forest ecosystems;TA5.14;+;The improvement of forest ecosystems can support the development of sustainable forest management practices and the reduction of waste in the forest sector, which can help achieve the targets related to circular economy and sustainable development.
TA6.52;forest ecosystems;TA5.15;+;The protection of forest ecosystems can contribute to the reduction of environmental and climate footprint of the EU food system, which can help achieve the targets related to sustainable development and environmental protection.
TA6.53;nan;TA4.53;-;The lack of progress in achieving the target of seamless multimodal passenger transport can negatively impact the development of sustainable transport systems and the reduction of emissions from transport.
TA6.54;Promoting the sustainable forest bioeconomy for long-lived wood products;TA5.16;+;The promotion of sustainable forest bioeconomy can support the development of sustainable forest management practices and the reduction of emissions from land use change, which can help achieve the targets related to climate action and sustainable development.
TA6.55;Ensuring sustainable use of wood-based resources for bioenergy;TA5.17;+;The sustainable use of wood-based resources for bioenergy can contribute to the reduction of greenhouse gas emissions from energy production and the promotion of renewable energy sources.
TA6.56;Promoting non-wood forest-based bioeconomy, including ecotourism;TA5.18;+;The promotion of non-wood forest-based bioeconomy can support the development of sustainable forest management practices and the reduction of emissions from land use change, which can help achieve the targets related to climate action and sustainable development.
TA6.57;Developing skills and empowering people for sustainable forest-based bioeconomy;TA5.19;+;The development of skills and empowerment of people for sustainable forest-based bioeconomy can support the development of sustainable forest management practices and the reduction of emissions from land use change, which can help achieve the targets related to climate action and sustainable development.
TA6.58;Protecting EU’s last remaining primary and old-growth forests;TA5.20;-;The protection of primary and old-growth forests can be negatively impacted by the lack of progress in achieving the targets related to sustainable agriculture and forest management.
TA6.59;Ensuring forest restoration and reinforced sustainable forest management for climate adaptation and forest resilience;TA4.49;+;The restoration of forests and the promotion of sustainable forest management can contribute to the reduction of greenhouse gas emissions from land use change and the promotion of climate resilience, which can help achieve the targets related to climate action and sustainable development.
TA6.60;Providing financial incentives for forest owners and managers for improving the quantity and quality of EU forests;TA5.21;+;The provision of financial incentives for forest owners and managers can support the development of sustainable forest management practices and the reduction of emissions from land use change, which can help achieve the targets related to climate action and sustainable development.
TA6.61;nan;TA4.51;-;The lack of progress in achieving the target of active transport modes can negatively impact the development of sustainable transport systems and the reduction of emissions from transport.
TA6.62;Reach no net land take;TA5.22;+;The target of reaching no net land take can contribute to the reduction of greenhouse gas emissions from land use change and the promotion of sustainable land use, which can help achieve the targets related to climate action and sustainable development.
TA6.63;Restore degraded land and soil, including land affected by desertification, drought and floods;TA5.23;+;The restoration of degraded land and soil can support the development of sustainable land use practices and the reduction of emissions from land use change, which can help achieve the targets related to climate action and sustainable development.
TA4.45;Zero-emission ocean-going vessels will become market ready;TA6.38;-;The development of zero-emission ocean-going vessels can be negatively impacted by the lack of progress in protecting primary and old-growth forests, which can increase emissions from land use change.
TA4.46;Zero-emission large aircraft will become market ready;TA6.38;-;The development of zero-emission large aircraft can be negatively impacted by the lack of progress in protecting primary and old-growth forests, which can increase emissions from land use change.
