TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio- economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Social Security - Workers Protection;This target is assigned to the sub-theme "Social Security - Workers Protection" because it focuses on ensuring fair and inclusive value chains, protecting workers' social rights, and promoting socially responsible production methods.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Animal Welfare;This target is assigned to the sub-theme "Food quality - Animal Welfare" because it aims to promote better animal welfare, which is directly related to food quality.
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the sub-theme "Food quality - Healthy Food" because it focuses on providing food information and labelling to promote healthy and sustainable food choices.
TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the sub-theme "Food affordability" because it aims to improve the availability of sustainable food and ensure that healthy options are easily accessible.
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the sub-theme "Food affordability" because it directly focuses on ensuring that food is affordable and sustainable.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the sub-theme "Food quality - Healthy Food" because it aims to reformulate food products to make them healthier and more sustainable.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;This target is assigned to the sub-theme "Food affordability" because it focuses on ensuring access to quality and nutritious food for all.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the sub-theme "Food quality - Healthy Food" because it aims to promote healthier and more sustainable diets.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the sub-theme "Food quality - Healthy Food" because it focuses on reversing the rise in overweight and obesity rates, which is related to healthy diets.
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitive Agriculture;This target is assigned to the sub-theme "Competitive Agriculture" because it aims to strengthen the resilience of the EU food system and increase the sustainability of food producers.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it focuses on legally protecting a minimum of 30% of the EU's land area, which is directly related to biodiversity conservation.
TA6.2;1.b Legally protect a minimum of 30% of the EU's sea area;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;This target is assigned to the sub-theme "Biodiversity Protection & Conservation - Fisheries" because it focuses on protecting the EU's sea area, which is related to fisheries and marine biodiversity.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it aims to strictly protect at least a third of the EU's protected areas, which is directly related to biodiversity conservation.
TA6.4;2b. Strictly protect all remaining EU primary and old- growth forests;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Forests" because it focuses on strictly protecting the EU's primary and old-growth forests, which is related to forest ecosystem restoration.
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it aims to restore degraded and carbon-rich ecosystems, which is directly related to ecosystem restoration.
