target_code;target_content;thematic_area;sub_theme;justification;
TA1.1;Reduce overall EU greenhouse gas emissions by at least 55% by 2030 compared to 1990 levels;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it directly aims to reduce greenhouse gas emissions in the EU.;The target is specific to the reduction of GHG emissions, making it a clear fit for this sub-theme.
;;;;;
TA1.2;Achieve climate neutrality by 2050;TA1_Climate ambition;Climate Resilience;This target is assigned to the Climate Resilience sub-theme as achieving climate neutrality is a key aspect of building resilience to climate change.;The long-term goal of climate neutrality encompasses a broad range of strategies, including GHG reduction and removal.
;;;;;
TA1.3;Reduce methane emissions by 35 to 37% compared to 2005 levels by 2030;TA1_Climate ambition;Methane;This target is specifically focused on methane emissions, which are a potent greenhouse gas.;Reducing methane emissions is crucial for mitigating climate change, making this target a good fit for the Methane sub-theme.
;;;;;
TA2.1;Increase the share of renewable energy in the EU's energy mix to at least 32% by 2030;TA2_Clean, affordable and secure energy;Renewable Energy;This target aims to increase the share of renewable energy, which is a key component of a clean and secure energy mix.;The focus on renewable energy makes this target a clear fit for the Renewable Energy sub-theme.
;;;;;
TA2.2;Improve energy efficiency by reducing primary energy consumption by at least 32.5% by 2030 compared to 2007;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is focused on improving energy efficiency, which is critical for reducing energy consumption and mitigating climate change.;The emphasis on reducing primary energy consumption aligns well with the Energy Efficiency sub-theme.
;;;;;
TA2.3;Increase the share of renewable energy in heating and cooling to at least 1.3% per year;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target specifically addresses the heating and cooling sector, which is a significant consumer of energy.;The focus on renewable energy in heating and cooling makes this target a good fit for the Renewable Energy - Heating & Cooling sub-theme.
;;;;;
TA3.1;Reduce greenhouse gas emissions from transport by at least 60% by 2050 compared to 1990;TA3_Industrial strategy for a clean and circular economy;GHG Reduction - Transport;This target is focused on reducing GHG emissions from the transport sector, which is a significant contributor to overall emissions.;The emphasis on transport makes this target a clear fit for the GHG Reduction - Transport sub-theme.
;;;;;
TA3.2;Increase the use of renewable energy in transport to at least 14% by 2030;TA3_Industrial strategy for a clean and circular economy;Renewable Energy - Transport;This target aims to increase the use of renewable energy in the transport sector, which is critical for reducing dependence on fossil fuels.;The focus on renewable energy in transport makes this target a good fit for the Renewable Energy - Transport sub-theme.
;;;;;
TA4.1;Reduce energy consumption in buildings by at least 30% by 2030 compared to 2007;TA4_Sustainable and smart mobility;Energy Efficiency - Buildings;This target is focused on reducing energy consumption in buildings, which is a significant sector for energy efficiency improvements.;The emphasis on buildings makes this target a clear fit for the Energy Efficiency - Buildings sub-theme.
;;;;;
TA4.2;Increase the share of electric vehicles in new car sales to at least 50% by 2030;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;This target aims to increase the share of electric vehicles, which is critical for reducing GHG emissions from transport.;The focus on electric vehicles makes this target a good fit for the Net-Zero Technology - Road Vehicles sub-theme.
;;;;;
TA5.1;Reduce greenhouse gas emissions from agriculture by at least 55% by 2030 compared to 1990;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;GHG Reduction - Agriculture;This target is focused on reducing GHG emissions from agriculture, which is a significant sector for emissions reduction.;The emphasis on agriculture makes this target a clear fit for the GHG Reduction - Agriculture sub-theme.
;;;;;
TA5.2;Increase the share of organic farming to at least 25% of total farmland by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitive Agriculture;This target aims to increase the share of organic farming, which is critical for improving the sustainability of agriculture.;The focus on organic farming makes this target a good fit for the Competitive Agriculture sub-theme.
;;;;;
TA6.1;Protect and restore at least 30% of the EU's land and sea areas by 2030;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is focused on protecting and restoring biodiversity, which is critical for maintaining ecosystem health.;The emphasis on protecting and restoring biodiversity makes this target a clear fit for the Biodiversity Protection & Conservation sub-theme.
;;;;;
TA6.2;Reduce the use of chemical pesticides by at least 50% by 2030;TA6_Preserving and protecting biodiversity;Pesticides Reduction;This target aims to reduce the use of chemical pesticides, which is critical for protecting biodiversity and human health.;The focus on reducing chemical pesticides makes this target a good fit for the Pesticides Reduction sub-theme.
;;;;;
