target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA5.1;nan;;;;;;;nan;nan;nan;No content available for analysis.;0
TA5.10;Increase renewable energy in agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption in the sector;A - Agriculture, Forestry and Fishing;D - Electricity, Gas, Steam and Air Conditioning Supply;;A1 - Crop and animal production, hunting and related service activities;D35 - Electricity, gas, steam and air conditioning supply;;A1.1 - Growing of non-perennial crops;D35.1 - Electric power generation, transmission and distribution;;The target focuses on agriculture and energy efficiency, linking it to renewable energy and energy consumption reduction.;8
TA5.11;Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E39 - Remediation activities and other waste management services;;A1.4 - Animal production;E39.0 - Remediation activities and other waste management services;;The target emphasizes environmental protection and biodiversity, relevant to agriculture and waste management.;7
TA5.12;Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change;A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A1.1 - Growing of non-perennial crops;;The focus on seeds and plant varieties is directly related to agriculture.;9
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;I - Accommodation and Food Service Activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;I56 - Food and beverage service activities;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;I56.1 - Restaurants and mobile food service activities;The target involves reducing food waste, relevant to retail, manufacturing, and food services.;8
TA5.14;Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;;The target relates to sustainable production and circular models in manufacturing and retail.;8
TA5.15;Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries;C - Manufacturing;A - Agriculture, Forestry and Fishing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10.8 - Manufacture of other food products;A1.1 - Growing of non-perennial crops;G47.1 - Retail sale in non-specialised stores;The target involves reducing the environmental impact of the food system, relevant to agriculture, manufacturing, and retail.;9
TA5.16;Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A1.1 - Growing of non-perennial crops;;The focus is on improving income for primary producers, directly related to agriculture.;9
TA5.17;Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;A - Agriculture, Forestry and Fishing;A3 - Fishing and Aquaculture;;A1 - Crop and animal production, hunting and related service activities;A3.1 - Fishing;;A1.1 - Growing of non-perennial crops;A3.2 - Aquaculture;;The target is about empowering farmers and fishers, relevant to agriculture and fishing.;9
TA5.18;Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A1.1 - Growing of non-perennial crops;;The target focuses on agricultural rules and farmer cooperatives, directly related to agriculture.;9
TA5.19;Preserve the affordability of food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;;The target is about food affordability, relevant to retail and manufacturing.;8
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;A - Agriculture, Forestry and Fishing;A3 - Fishing and Aquaculture;;A1 - Crop and animal production, hunting and related service activities;A3.1 - Fishing;;A1.4 - Animal production;A3.2 - Aquaculture;;The target focuses on reducing antimicrobials in agriculture and aquaculture.;9
TA5.20;Foster the competitiveness of the EU supply sector;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;;The target is about enhancing competitiveness in the supply sector, relevant to manufacturing and retail.;8
TA5.21;Ensure access to fast broadband to all farmers and all rural areas (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);J - Information and Communication;A - Agriculture, Forestry and Fishing;;J61 - Telecommunications;A1 - Crop and animal production, hunting and related service activities;;J61.1 - Wired telecommunications activities;A1.1 - Growing of non-perennial crops;;The target involves broadband access in rural areas, linking telecommunications and agriculture.;8
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation.;H - Transportation and Storage;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;H52 - Warehousing and support activities for transportation;G47 - Retail trade, except of motor vehicles and motorcycles;;H52.1 - Warehousing and storage;G47.1 - Retail sale in non-specialised stores;;The target is about shortening supply chains, relevant to transportation and retail.;8
TA5.23;Create new job opportunities.;N - Administrative and Support Service Activities;M - Professional, Scientific and Technical Activities;;N82 - Office administrative, office support and other business support activities;M74 - Other professional, scientific and technical activities;;N82.9 - Business support service activities n.e.c.;M74.9 - Other professional, scientific and technical activities n.e.c.;;The target is about job creation, relevant to administrative and professional services.;7
TA5.24;Ensure Fair, inclusive and ethical value chains. Improve working conditions, ensure occupation health and safety. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;N - Administrative and Support Service Activities;S - Other Service Activities;;N81 - Services to buildings and landscape activities;S96 - Other personal service activities;;N81.2 - Cleaning activities;S96.0 - Other personal service activities;;The target focuses on ethical value chains and working conditions, relevant to support and personal services.;8
TA5.25;Promote better animal welfare to improve animal health and food quality;A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A1.4 - Animal production;;The target is about animal welfare, directly related to agriculture.;9
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;P - Education;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;P85 - Education;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;P85.6 - Educational support activities;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;The target involves education on nutrition and food sustainability, relevant to education, manufacturing, and retail.;8
TA5.27;Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;;The target is about food labelling, relevant to retail and manufacturing.;8
TA5.28;Extend the mandatory origin or provenance indications to certain products.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;;The target involves product origin labelling, relevant to retail and manufacturing.;8
TA5.29;Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;;The target is about sustainable food availability, relevant to retail and manufacturing.;8
TA5.3;Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility;A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A1.1 - Growing of non-perennial crops;;The target focuses on nutrient management in agriculture.;9
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;;The target is about food affordability and access, relevant to retail and manufacturing.;8
