source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
Biodiversity Protection & Conservation;TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62;Net-Zero Technology - Road Vehicles;+1;Enabling;The protection and restoration of biodiversity can enable the development of sustainable transportation systems, such as electric vehicles, by ensuring the availability of natural resources and ecosystem services.
Biodiversity Protection & Conservation;TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62;Biofuels;-1;Constraining;The production of biofuels can constrain biodiversity protection efforts, as it may lead to land-use changes and habitat destruction.
Terrestrial Ecosystems Restoration - Forests;TA6.11,TA6.4,TA6.50,TA6.51,TA6.52,TA6.59;Net-Zero Technology - Road Vehicles;+2;Reinforcing;The restoration of forests can reinforce the development of sustainable transportation systems, such as electric vehicles, by providing a source of renewable energy and reducing greenhouse gas emissions.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Net-Zero Technology - Road Vehicles;+1;Enabling;The restoration of agricultural ecosystems can enable the development of sustainable transportation systems, such as electric vehicles, by ensuring the availability of natural resources and ecosystem services.
Marine Ecosystem Restoration;TA6.2,TA6.33,TA6.44,TA6.45;Net-Zero Technology - Maritime Transport;+2;Reinforcing;The restoration of marine ecosystems can reinforce the development of sustainable maritime transportation systems, such as zero-emission ships, by providing a source of renewable energy and reducing greenhouse gas emissions.
Biodiversity Protection & Conservation - Urban Nature;TA6.16,TA6.39,TA6.40,TA6.41;Urban Mobility;+1;Enabling;The protection and restoration of urban biodiversity can enable the development of sustainable urban mobility systems, such as green infrastructure and non-motorized transportation, by ensuring the availability of natural resources and ecosystem services.
Terrestrial Ecosystems Restoration - Rivers;TA6.13,TA6.42;Transport Logistics;-1;Constraining;The restoration of rivers can constrain transportation logistics efforts, as it may lead to changes in water flow and navigation.
Biodiversity Protection & Conservation - Fisheries;TA5.6,TA6.18,TA6.27,TA6.28;Net-Zero Technology - Maritime Transport;-2;Counteracting;The protection and restoration of fisheries can counteract the development of sustainable maritime transportation systems, such as zero-emission ships, by limiting the availability of fish stocks and affecting the livelihoods of fishing communities.
Biodiversity Protection & Conservation - Monitoring;TA6.37,TA6.46;Net-Zero Technology - Road Vehicles;+1;Enabling;The monitoring of biodiversity can enable the development of sustainable transportation systems, such as electric vehicles, by ensuring the availability of natural resources and ecosystem services.
Terrestrial Ecosystems Restoration;TA6.21,TA6.32,TA6.34,TA6.35,TA6.36,TA6.38,TA6.63,TA6.7;Net-Zero Technology - Road Vehicles;+2;Reinforcing;The restoration of terrestrial ecosystems can reinforce the development of sustainable transportation systems, such as electric vehicles, by providing a source of renewable energy and reducing greenhouse gas emissions.
